Start,End,Sleep quality,Time in bed,Heart rate,Activity (steps),Stressful day,Drank coffee,Drank tea,Ate late,Worked out
22:10:58,05:28:34,73.0,7.283333333333333,0.0,0,0,1,1,0,1
22:00:46,05:30:32,76.0,7.483333333333333,0.0,0,0,1,1,0,1
21:56:26,05:34:59,78.0,7.633333333333333,0.0,0,0,1,1,1,0
22:46:50,06:35:37,75.0,7.8,0.0,0,0,1,1,0,1
21:13:40,06:29:37,77.0,9.25,0.0,0,0,1,1,0,0
21:33:27,06:23:55,79.0,8.833333333333334,0.0,0,0,1,0,0,0
22:17:12,08:14:54,79.0,9.95,0.0,0,0,1,0,0,1
22:06:59,06:30:14,85.0,8.383333333333333,0.0,0,0,1,1,0,1
22:27:55,06:38:49,88.0,8.166666666666666,0.0,0,0,1,0,0,0
22:58:16,06:28:13,83.0,7.483333333333333,0.0,0,0,1,1,0,1
22:02:27,05:23:02,84.0,7.333333333333333,0.0,0,0,1,1,0,1
22:11:17,05:26:31,76.0,7.25,0.0,0,0,1,1,0,1
21:47:34,06:06:40,88.0,8.316666666666666,0.0,0,0,1,1,0,1
22:58:22,06:19:07,78.0,7.333333333333333,0.0,0,0,1,0,0,0
22:02:40,05:27:42,82.0,7.416666666666667,0.0,0,0,1,1,0,1
21:47:43,05:20:45,72.0,7.55,0.0,0,0,1,0,0,1
22:54:38,06:20:45,79.0,7.433333333333334,0.0,0,0,1,0,0,1
22:17:56,06:53:46,74.0,8.583333333333334,0.0,0,1,1,0,0,1
23:45:36,07:35:42,84.0,7.833333333333333,0.0,0,0,1,0,0,0
22:55:30,07:35:48,91.0,8.666666666666666,0.0,0,0,0,1,0,0
00:44:15,07:45:22,68.0,7.016666666666667,0.0,0,0,1,1,0,0
22:43:49,06:40:40,77.0,7.933333333333334,0.0,0,0,1,1,0,1
21:57:50,05:31:30,66.0,7.55,0.0,0,0,1,0,0,1
23:41:34,05:11:40,38.0,5.5,0.0,0,0,1,0,0,0
22:07:58,05:53:25,84.0,7.75,0.0,0,1,1,0,0,0
22:07:07,05:25:39,76.0,7.3,0.0,0,0,1,0,0,1
22:20:30,05:32:48,70.0,7.2,0.0,0,0,1,0,0,1
21:33:26,06:24:29,90.0,8.85,0.0,0,1,1,0,0,1
22:47:46,06:26:50,77.0,7.65,0.0,0,0,1,1,0,1
23:12:47,07:41:40,69.0,8.466666666666667,0.0,0,0,1,0,0,0
22:04:12,06:23:53,85.0,8.316666666666666,0.0,0,0,1,0,0,0
22:18:26,06:25:24,94.0,8.1,0.0,0,0,1,0,0,1
21:59:00,05:43:33,88.0,7.733333333333333,0.0,0,0,0,1,0,1
00:15:25,06:35:57,68.0,6.333333333333333,0.0,0,0,0,1,0,1
23:33:23,07:50:56,92.0,8.283333333333333,0.0,0,0,1,0,0,0
22:19:47,05:45:34,64.0,7.416666666666667,0.0,0,0,0,1,0,0
21:55:44,06:22:29,78.0,8.433333333333334,0.0,0,0,0,1,0,1
23:22:16,05:50:28,70.0,6.466666666666667,0.0,0,0,0,1,0,1
22:15:14,06:21:26,95.0,8.1,0.0,0,0,1,1,0,1
22:01:33,06:17:35,90.0,8.266666666666667,0.0,0,0,0,1,0,1
23:20:01,07:31:36,98.0,8.183333333333334,0.0,0,0,0,1,0,0
23:08:20,06:19:25,70.0,7.183333333333334,0.0,0,0,1,1,0,0
22:50:22,06:22:58,75.0,7.533333333333333,0.0,0,0,0,1,0,1
21:40:38,06:25:07,91.0,8.733333333333333,0.0,0,0,0,1,0,1
22:40:25,05:49:39,79.0,7.15,0.0,0,0,0,1,0,0
21:35:17,05:34:15,92.0,7.966666666666667,0.0,0,0,0,1,0,1
01:33:16,07:50:21,69.0,6.283333333333333,0.0,0,0,1,0,0,1
23:44:03,07:51:57,83.0,7.116666666666666,0.0,0,0,0,1,0,0
22:47:36,05:40:43,82.0,6.883333333333333,0.0,0,0,0,1,0,1
22:16:43,05:46:07,79.0,7.483333333333333,0.0,0,0,0,1,0,1
22:41:40,06:25:27,85.0,7.716666666666667,0.0,0,0,1,1,0,1
22:25:40,07:05:26,90.0,8.65,0.0,0,0,1,0,0,1
22:46:35,07:08:48,98.0,8.366666666666667,0.0,0,0,1,1,0,0
22:17:45,07:47:51,87.0,9.5,0.0,0,0,1,0,0,0
22:13:36,07:26:59,80.0,9.216666666666667,0.0,0,0,1,0,0,0
22:37:03,07:32:00,80.0,8.9,0.0,0,0,1,0,0,0
21:22:46,06:19:17,80.0,8.933333333333334,0.0,0,0,1,1,0,0
22:06:49,05:20:29,65.0,7.216666666666667,0.0,0,0,1,1,0,1
23:28:20,07:30:07,82.0,8.016666666666667,0.0,0,0,1,0,0,0
23:32:44,06:29:15,75.0,6.933333333333334,0.0,0,1,1,0,0,1
23:12:02,06:25:49,66.0,7.216666666666667,0.0,0,0,1,0,0,1
22:58:49,06:25:21,58.0,7.433333333333334,0.0,0,0,1,1,0,1
22:47:19,06:30:09,89.0,7.7,0.0,0,0,1,1,0,1
21:20:49,07:08:13,86.0,9.783333333333333,0.0,0,0,1,0,0,0
21:44:29,06:24:00,67.0,8.65,0.0,0,0,1,0,0,0
21:23:59,06:29:22,62.0,9.083333333333334,0.0,0,0,1,0,0,0
21:13:24,06:24:45,81.0,9.183333333333334,0.0,0,0,1,0,0,1
23:00:14,05:55:41,73.0,6.916666666666667,0.0,0,0,1,1,0,1
21:48:56,05:49:06,81.0,8.0,0.0,0,0,1,1,1,1
00:51:24,07:21:57,53.0,6.5,0.0,0,0,1,1,0,1
22:59:45,07:59:49,94.0,9.0,0.0,0,0,1,1,0,1
22:04:13,05:16:33,67.0,7.2,0.0,0,0,0,1,0,0
22:35:10,05:54:20,82.0,7.316666666666666,0.0,0,1,1,1,0,1
22:18:30,05:52:27,85.0,7.55,0.0,0,0,1,1,0,1
22:27:46,06:13:03,77.0,7.75,0.0,0,0,1,1,0,1
21:43:30,06:24:30,94.0,8.683333333333334,0.0,0,1,1,1,0,1
22:38:27,07:25:56,81.0,8.783333333333333,0.0,0,0,1,1,0,0
21:34:35,06:26:45,75.0,8.866666666666667,0.0,0,0,1,1,0,0
21:21:02,06:20:19,79.0,8.983333333333333,0.0,0,0,1,1,0,1
21:25:56,05:35:24,81.0,8.15,0.0,0,0,1,1,1,1
21:54:28,05:35:27,79.0,7.666666666666667,0.0,0,0,0,0,0,0
05:37:46,06:20:18,9.0,0.7,0.0,0,0,0,0,0,0
00:46:44,07:54:03,65.0,7.116666666666666,0.0,0,0,1,1,0,1
22:30:35,06:14:30,81.0,7.716666666666667,0.0,0,0,0,1,0,0
22:07:57,05:39:43,87.0,7.516666666666667,0.0,0,0,1,1,1,1
22:48:24,06:20:28,74.0,7.533333333333333,0.0,0,0,1,1,0,1
22:24:10,06:25:23,92.0,8.016666666666667,0.0,0,0,1,1,0,1
22:23:37,06:17:32,95.0,7.883333333333333,0.0,0,0,1,1,0,1
22:47:32,05:57:05,81.0,7.15,0.0,0,0,1,1,0,1
21:27:20,06:15:12,95.0,8.783333333333333,0.0,0,0,1,0,0,1
21:50:53,06:20:17,85.0,8.483333333333333,0.0,0,0,1,0,0,1
22:19:12,06:20:18,79.0,8.016666666666667,0.0,0,0,1,0,0,1
22:16:31,06:30:20,83.0,8.216666666666667,0.0,0,0,1,1,0,1
22:20:43,06:15:04,89.0,7.9,0.0,0,0,1,0,1,0
23:07:56,07:08:11,87.0,8.0,0.0,0,1,1,1,0,1
23:20:36,07:12:34,93.0,7.85,0.0,0,0,1,1,0,0
23:44:12,06:20:24,74.0,6.6,0.0,0,0,1,1,0,0
22:10:46,05:41:35,83.0,7.5,0.0,0,0,1,1,0,1
23:10:06,05:30:21,74.0,6.333333333333333,0.0,0,0,1,1,0,1
22:43:49,06:25:26,80.0,7.683333333333334,0.0,0,0,1,1,0,1
23:50:20,06:50:20,83.0,6.983333333333333,0.0,0,0,1,1,0,1
23:08:55,07:53:57,100.0,8.75,0.0,0,0,1,1,0,1
21:34:13,06:07:30,81.0,8.55,0.0,0,0,0,1,0,0
21:34:47,06:15:18,85.0,8.666666666666666,0.0,0,0,1,0,0,1
20:53:27,06:10:18,83.0,9.266666666666667,0.0,0,0,1,0,0,1
22:26:07,05:40:26,79.0,7.233333333333333,0.0,0,1,1,0,0,0
00:00:10,06:30:16,76.0,6.5,0.0,0,0,1,0,0,1
23:14:26,07:34:07,91.0,8.316666666666666,0.0,0,0,1,0,0,1
22:34:58,05:30:18,75.0,6.916666666666667,0.0,0,0,1,0,0,0
22:00:00,05:35:16,90.0,7.583333333333333,0.0,0,0,1,0,0,1
